ROLL,PITCH,YAW,Y,Z,X
0,0,0,0,0,30
-0.0294128,-0.0654409,-0.00807573,0.00105882,-0.000261663,30.0681

0,0,0,0,0,50
-0.0581718,-0.00473828,-0.0756799,0.0110116,0.0147272,50.1787

0,0,0,0,0,70
0.10205,-0.0364473,-0.0906569,0.0138134,0.0169112,69.6992

0,0,0,0,0,90
-0.0825375,-0.00134288,-0.156072,0.0245042,0.0297872,90.4145

0,0,5,0,0,30
-0.0285708,-0.0660267,-8.70994,0.145211,-0.000302606,29.2862

0,0,5,0,0,50
-0.0378848,-0.0129604,-6.98931,0.103369,0.0133451,49.4308

0,0,5,0,0,70
-0.085156,-0.0216348,-6.2709,0.0776861,0.0191922,69.5621

0,0,5,0,0,90
0.0135542,0.0337419,-5.76859,0.0346235,0.0351294,89.9826

0,0,10,0,0,30
-0.0237048,-0.00453031,-17.0661,0.278917,-0.000559004,28.2961

0,0,10,0,0,50
-0.0297887,-0.016037,-13.7106,0.152457,0.0126722,48.6292

0,0,10,0,0,70
-0.085156,-0.0216211,-12.6327,0.133685,0.0189562,68.7065

0,0,10,0,0,90
-0.0852633,-0.000385184,-12.0768,0.110909,0.0294938,89.0497

0,0,15,0,0,30
-0.0235364,-0.00450333,-26.1158,0.384827,-0.000535723,26.6759

0,0,15,0,0,50
-0.0317118,0.131977,-20.4279,0.232805,0.018258,47.3488

0,0,15,0,0,70
0.0147648,0.0882772,-19.0678,0.194487,0.0129336,67.1529

0,0,15,0,0,90
-0.0335399,-0.0194436,-18.2591,0.172949,0.0260381,87.4012

0,5,0,0,0,30
-0.863087,-8.73482,-0.0350267,0.00463596,-0.14347,30.0752

0,5,0,0,0,50
-0.582939,-6.89247,-0.00602859,0.0162864,-0.075851,50.2025

0,5,0,0,0,70
-0.24863,-6.19307,0.0224568,0.0190706,-0.0435754,69.7352

0,5,0,0,0,90
-0.253914,-5.74836,0.0780061,0.0176851,-3.75868e-05,90.3523

0,5,5,0,0,30
-0.873265,-8.66392,-8.49431,0.138805,-0.141532,29.2881

0,5,5,0,0,50
number of leds were detected: 6

0,5,5,0,0,70
-0.451582,-6.25934,-6.20075,0.0885814,-0.0435323,69.6523

0,5,5,0,0,90
-0.220401,-5.77554,-5.4541,0.017732,-0.00528919,89.8796

0,5,10,0,0,30
number of leds were detected: 4

0,5,10,0,0,50
-0.57364,-6.80731,-13.7669,0.159255,-0.0782957,48.6639

0,5,10,0,0,70
-0.546487,-6.36907,-12.5305,0.140781,-0.05889,68.7967

0,5,10,0,0,90
-0.479823,-6.02431,-11.7063,0.0960191,-0.0377723,89.0448

0,5,15,0,0,30
-0.823297,-8.37416,-25.3079,0.389846,-0.123569,26.8797

0,5,15,0,0,50
-0.56538,-6.71227,-20.2675,0.237636,-0.0688901,47.4383

0,5,15,0,0,70
number of leds were detected: 6

0,5,15,0,0,90
-0.355592,-5.9519,-17.9357,0.13767,-0.0278857,87.245

0,10,0,0,0,30
-1.74058,-17.2656,-0.0139804,0.00185722,-0.287121,30.0553

0,10,0,0,0,50
-0.981507,-13.7132,-0.0694414,0.0101421,-0.141878,50.167

0,10,0,0,0,70
-0.61184,-12.5722,-0.12021,0.0181712,-0.103998,69.7258

0,10,0,0,0,90
-0.62212,-11.9481,-0.156889,0.0245029,-0.0618137,90.4097

0,10,5,0,0,30
number of leds were detected: 3

0,10,5,0,0,50
-0.974396,-13.7043,-6.78731,0.0941649,-0.143133,49.4205

0,10,5,0,0,70
number of leds were detected: 4

0,10,5,0,0,90
-0.583511,-11.9687,-5.68031,0.0207141,-0.066414,89.8837

0,10,10,0,0,30
number of leds were detected: 4

0,10,10,0,0,50
-1.04634,-13.5429,-13.5476,0.124491,-0.153917,48.5575

0,10,10,0,0,70
-0.827576,-12.5604,-12.7875,0.142864,-0.104119,68.7718

0,10,10,0,0,90
-0.660646,-11.8292,-11.9775,0.113928,-0.066597,89.1478

0,10,15,0,0,30
number of leds were detected: 6

0,10,15,0,0,50
-1.05064,-13.5951,-19.5471,0.195261,-0.145085,47.4675

0,10,15,0,0,70
-0.779775,-12.2847,-18.6811,0.206468,-0.116504,67.4476

0,10,15,0,0,90
-0.637339,-11.7129,-17.513,0.151729,-0.0738469,87.6174

0,15,0,0,0,30
-2.60091,-25.8474,-0.00798207,0.00105763,-0.417975,30.0343

0,15,0,0,0,50
-1.50571,-20.2785,-0.0616981,0.00893441,-0.223938,50.1509

0,15,0,0,0,70
-0.999005,-18.7914,-0.169928,0.0255065,-0.165696,69.7707

0,15,0,0,0,90
-0.875006,-17.9732,-0.078105,0.012065,-0.101919,90.2925

0,15,5,0,0,30
-2.58505,-26.1352,-7.99212,0.136187,-0.406889,29.3534

0,15,5,0,0,50
-1.48462,-20.5066,-6.80943,0.103404,-0.222199,49.4838

0,15,5,0,0,70
-1.22655,-18.87,-6.33075,0.0917582,-0.167721,69.6895

0,15,5,0,0,90
number of leds were detected: 4

0,15,10,0,0,30
number of leds were detected: 4

0,15,10,0,0,50
-1.54342,-20.4948,-12.7432,0.135204,-0.230567,48.81

0,15,10,0,0,70
-1.25455,-18.7426,-12.9328,0.141704,-0.169787,68.7754

0,15,10,0,0,90
-0.912039,-17.6376,-12.1047,0.11965,-0.106408,89.2001

0,15,15,0,0,30
-2.48561,-25.2841,-24.085,0.351925,-0.362899,27.1542

0,15,15,0,0,50
number of leds were detected: 6

0,15,15,0,0,70
-1.1268,-18.8802,-18.448,0.189801,-0.169052,67.4832

0,15,15,0,0,90
-0.902912,-17.7229,-17.6666,0.166207,-0.114587,87.7438

5,0,0,0,0,30
-5.03995,-0.0041333,-0.0456046,0.00597317,0.0077614,30.0319

5,0,0,0,0,50
-5.17027,-0.0101534,-0.053976,0.0078647,0.0139055,50.0823

5,0,0,0,0,70
number of leds were detected: 4

5,0,0,0,0,90
number of leds were detected: 6

5,0,5,0,0,30
-5.01056,0.704791,-8.62129,0.143888,0.0164935,29.4095

5,0,5,0,0,50
-5.02849,0.799775,-6.73592,0.0870256,0.0234402,49.3784

5,0,5,0,0,70
-4.85935,0.392868,-6.24571,0.0716983,0.036889,69.6005

5,0,5,0,0,90
number of leds were detected: 6

5,0,10,0,0,30
-5.03142,1.53975,-16.9315,0.269047,0.0338636,28.2951

5,0,10,0,0,50
number of leds were detected: 4

5,0,10,0,0,70
-4.72679,1.28652,-12.4933,0.130464,0.0371256,68.5263

5,0,10,0,0,90
number of leds were detected: 6

5,0,15,0,0,30
number of leds were detected: 6

5,0,15,0,0,50
-5.06757,1.66032,-20.2462,0.225962,0.0414207,47.2384

5,0,15,0,0,70
number of leds were detected: 6

5,0,15,0,0,90
number of leds were detected: 6

5,5,0,0,0,30
-5.98384,-8.6287,-0.654274,0.0121008,-0.139391,30.0056

5,5,0,0,0,50
-5.75595,-6.68058,-0.571655,0.00709919,-0.0778733,50.0328

5,5,0,0,0,70
45.5468,nan,nan,nan,-nan,nan

5,5,0,0,0,90
-5.66513,-5.65697,0.222845,-0.0349539,-0.0182122,89.5127

5,5,5,0,0,30
-5.89827,-7.86253,-9.12792,0.141611,-0.119479,29.3869

5,5,5,0,0,50
number of leds were detected: 4

5,5,5,0,0,70
-5.3083,-5.70957,-6.50581,0.067724,-0.0299718,69.5654

5,5,5,0,0,90
-5.2129,-5.25533,-5.99975,0.0512032,0.00687786,89.828

5,5,10,0,0,30
-5.87665,-6.95663,-17.4045,0.275199,-0.0916289,28.327

5,5,10,0,0,50
number of leds were detected: 4

5,5,10,0,0,70
-5.19099,-4.82266,-12.6134,0.133298,-0.0327879,68.6085

5,5,10,0,0,90
-5.29758,-4.47298,-12.0679,0.0914657,0.0173753,88.7387

5,5,15,0,0,30
-5.91672,-6.15187,-25.7771,0.375513,-0.0886639,26.9033

5,5,15,0,0,50
-5.65798,-4.73134,-20.5821,0.234745,-0.0457898,47.3203

5,5,15,0,0,70
number of leds were detected: 6

5,5,15,0,0,90
-5.22962,-3.65644,-17.8875,0.146929,0.0531857,87.5647

5,10,0,0,0,30
number of leds were detected: 6

5,10,0,0,0,50
-6.35719,-13.5452,-1.07724,0.0190767,-0.15785,50.0491

5,10,0,0,0,70
30.1412,-37.2301,15.9424,-6.36379,-8.00492,196.438

5,10,0,0,0,90
-5.98087,-11.4482,-0.927627,-0.00427301,-0.054656,89.7612

5,10,5,0,0,30
-6.8786,-16.3881,-9.70965,0.160755,-0.259151,29.4385

5,10,5,0,0,50
-6.16747,-12.8261,-7.82596,0.0951087,-0.140297,49.3702

5,10,5,0,0,70
